ItemTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,ParentItem,ParentTable,SecondTable,ReqLevel,Skill,CraftTime,Weight,RepairType,MaxUses,NoDefault,ParentRecipe,TagRecipe,Ingredients,StaticIngredients,Products,Fuel,Yield,PluralName,Description,BlockChunks,RequireModule,FriendlyName,Category,Tags,CraftExperience,Labor,BackingCurrency,EcopediaCategory,EcopediaPage,,,,,,,,,,,,,,,,
DendrologyResearchPaperModern,,ResearchTable,,0,Carpentry,,10,,,,,"Lumber,30",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Modern Research,1;Research,1",6,600,,Items,Research Papers,,,,,,,,,,,,,,,,
EckoTheDolphin,Tool,,,,,,0,,,,,,,,,,,,"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.",,,,Tool,,,,,,,,,,,,,,,,,,,,,,
ElectricMotor,,ElectronicsAssembly,,1,Electronics,2,1000,,,,,,"BasicCircuit,4;CopperWiring,10;SteelBar,8",,,,,,A motor.,,,,Material,,10,360,,Items,Products,,,,,,,,,,,,,,,,
ElkCarcass,,,,,,,3000,,,,,,,,,,,,A dead elk.,,,,Animal,"MediumCarcass,1;MediumLeatherCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
EngineeringResearchPaperAdvanced,,ResearchTable,,1,BasicEngineering,,10,,,,,,"Waterwheel,2;Windmill,2",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Advanced Research,1;Research,1",1.5,120,,Items,Research Papers,,,,,,,,,,,,,,,,
EngineeringResearchPaperModern,,ResearchTable,,1,Mechanics,,10,,,,,,"IronAxle,8;IronPlate,8;IronGear,20",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Modern Research,1;Research,1",3,600,,Items,Research Papers,,,,,,,,,,,,,,,,
Epoxy,,OilRefinery,,1,OilDrilling,1.5,1000,,,,,,"Petroleum,4",,"Barrel,3,-",,2,Epoxy,"A useful material for hardening, curing, and other various uses.",,,,Material,,1,180,,Items,Products,,,,,,,,,,,,,,,,
Ethanol,,,,,,,1000,,,,,,,,,,,,A material used to make biodiesel. Not suitable for food.,,,,Material,,,,,Items,Products,,,,,,,,,,,,,,,,
Fiberglass,,ElectronicsAssembly,,1,Glassworking,2,1000,,,,,,"Plastic,4;Glass,2",,,,,Fiberglass,Plastic reinforced with glass fiber strands.,,,,Material,,1,90,,Items,Products,,,,,,,,,,,,,,,,
FishingPole,,Fishery,,,,5,1000,,,,,"Wood,10",,,,,,,"Fishing, the most extreme sport.",,,,Tool,"Tool,1",,25,,Items,Tools,,,,,,,,,,,,,,,,
FlaxFiber,,,,1,,5,100,,,,,,"FlaxStem,6",,"PlantFibers,1",,1,,Processed fibers of flax ready to be spun into yarn.,,,,Material,,1,50,,,,,,,,,,,,,,,,,,,
FlaxStem,,,,,,,10,,,,,,,,,,,,A bundle of harvested flax that can be processed into fabric.,,,,Material,,,,,,,,,,,,,,,,,,,,,,
FlaxTrawlerNet,VehicleTool,,,,,2,5000,Cloth,500,,,"Fabric,15",,,,,,,A sturdy basic combination of lines making a mesh used for catching fish on a larger scale.,,,,Tool,,10,120,,,,,,,,,,,,,,,,,,,
FoxCarcass,,,,,,,2000,,,,,,,,,,,,A dead fox.,,,,Animal,"SmallCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
FurPelt,,,,,,,500,,,,,,,,,,,,"A soft, furry pelt.",,,,Material,"Animal Skin,1",,,x,Items,Products,,,,,,,,,,,,,,,,
GatheringResearchPaperBasic,,ResearchTable,,0,Gathering,,10,,,,,"Raw Food,30","PlantFibers,20",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Basic Research,1;Research,1",1.5,30,,Items,Research Papers,,,,,,,,,,,,,,,,
Gearbox,,Shaper,,1,Mechanics,1.5,500,,,,,,"IronBar,2;IronGear,4",,,,,,Provides speed and torque conversions from a rotating power source to another device.,,MachinistTable,,Material,,2,45,,Items,Products,,,,,,,,,,,,,,,,
GeologyResearchPaperAdvanced,,ResearchTable,,0,Masonry,,10,,,,,"MortaredStone,20",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Advanced Research,1;Research,1",3,120,,Items,Research Papers,,,,,,,,,,,,,,,,
GeologyResearchPaperBasic,,ResearchTable,,0,Mining,,10,,,,,"Rock,30",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Basic Research,1;Research,1",1.5,30,,Items,Research Papers,,,,,,,,,,,,,,,,
GeologyResearchPaperModern,,ResearchTable,,0,Pottery,,10,,,,,,"Brick,30",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Modern Research,1;Research,1",6,600,,Items,Research Papers,,,,,,,,,,,,,,,,
GlassLens,,,,1,,1,500,,,,,,"Glass,6",,,,2,,A thin shaped piece of glass very useful for devices used to interact with light.,,,,Material,,0.1,30,,,,,,,,,,,,,,,,,,,
GoldFlakes,,ElectronicsAssembly,,1,Electronics,0.8,500,,,,,,"GoldBar,2",,,,4,GoldFlakes,A highly efficient conductor for delicate electronics.,,,,Material,,1,75,,Items,Products,,,,,,,,,,,,,,,,
GoldWiring,,ElectricMachinistTable,,4,Mechanics,0.4,200,,,,,,"GoldBar,4",,,,2,GoldWiring,A length of gold conductive wire useful for a variety of purposes.,,,,Material,,1,120,,Items,Products,,,,,,,,,,,,,,,,
HardwoodBoard,,CarpentryTable,,1,Carpentry,0.2,500,,,,Board,,"HardwoodHewnLog,1",,,2000,,,A higher quality hardwood board used for long lasting furniture.,,,,Material,"WoodBoard,1;Burnable Fuel,1",0.6,25,x,Items,Products,,,,,,,,,,,,,,,,
HareCarcass,,,,,,,1000,,,,,,,,,,,,A dead hare.,,,,Animal,"TinyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
HeatSink,,Shaper,,2,Mechanics,2,500,,,,,,"CopperPlate,8;CopperWiring,6",,,,,,A copper plate to draw and disperse heat.,,MachinistTable,,Material,,2,60,,Items,Products,,,,,,,,,,,,,,,,
IronAxle,,Lathe,,1,Mechanics,2,500,,,,,,"IronBar,2",,,,,,A rotating iron rod that can be fixed to wheels for use in vehicles.,,MachinistTable,,Material,,1,75,,Items,Products,,,,,,,,,,,,,,,,
IronGear,,Shaper,,1,Mechanics,0.4,500,,,,,,"IronBar,1",,,,,,A toothed machine part that interlocks with others.,,,,Material,"Gear,1",1,75,,Items,Products,,,,,,,,,,,,,,,,
IronPlate,,ScrewPress,,1,Mechanics,2,500,,,,,,"IronBar,1",,,,,,A solid iron plate for use in various crafting recipes.,,MachinistTable,,Material,,1,60,x,Items,Products,,,,,,,,,,,,,,,,
IronSawBlade,,Anvil,,2,Smelting,1.2,100,,,,,,"IronBar,6",,,,,,A disc shaped iron saw that can be attached to rotary machines to shape wood products.,,,,Material,,2,60,,Items,Products,,,,,,,,,,,,,,,,
IronWheel,,WainwrightTable,,3,BasicEngineering,2,500,,,,,,"IronBar,6",,,,,,A sturdy iron wheel that can support heavier vehicles than early wooden wheels.,,,,Material,,1,100,,Items,Products,,,,,,,,,,,,,,,,
JaguarCarcass,,,,,,,2000,,,,,,,,,,,,A dead Jaguar.,,,,Animal,"MediumCarcass,1;MediumLeatherCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Kelp,,,,,,,100,,,,,,,,,,,,Some creepy kelp.,,,,Material,"NaturalFiber,1",,,,Items,Products,,,,,,,,,,,,,,,,
LargeHangingWoodSign,,CarpentryTable,,3,Carpentry,3,,,,x,,"WoodBoard,5;HewnLog,4;Wood,10",,,,,,,A large sign for all of your larger text needs!,,,,,,2,60,,,,,,,,,,,,,,,,,,,
LargeStandingWoodSign,,CarpentryTable,,3,Carpentry,3,,,,x,,"WoodBoard,5;HewnLog,4;Wood,10",,,,,,,A large sign for all of your larger text needs!,,,,,,2,60,,,,,,,,,,,,,,,,,,,
LeatherHide,,,,,,,500,,,,,,,,,,,,A thick hide.,,,,Material,"Animal Skin,1",,,x,Items,Products,,,,,,,,,,,,,,,,
LightBulb,,Glassworks,,2,Glassworking,2,50,,,,,,"Glass,2;CopperWiring,6",,,,,,An electric light with a wire filament.,,,,Material,,2,60,,Items,Products,,,,,,,,,,,,,,,,
LinenFabric,,,,1,,3,100,,,,,,"LinenYarn,4",,,,,,A rough linen fabric that covers your basic needs.,,,,Material,,0.5,100,x,,,,,,,,,,,,,,,,,,
LinenYarn,,,,1,,1,20,,,,,,"FlaxFiber,2",,,,,,Flax fibers spun into a usable string commonly known as linen yarn.,,,,Material,,1,30,,,,,,,,,,,,,,,,,,,
MarmotCarcass,,,,,,,1000,,,,,,,,,,,,A dead marmot.,,,,Animal,,,,,,,,,,,,,,,,,,,,,,
MetallurgyResearchPaperAdvanced,,ResearchTable,,0,Smelting,,10,,,,,,"IronBar,10;CopperBar,5",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,,"Advanced Research,1;Research,1",3,120,,Items,Research Papers,,,,,,,,,,,,,,,,
MetallurgyResearchPaperBasic,,ResearchTable,,0,Mining,,10,,,,,"Ore,10",,,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,Research,"Basic Research,1;Research,1",1.5,30,,Items,Research Papers,,,,,,,,,,,,,,,,
MetallurgyResearchPaperModern,,ResearchTable,,1,AdvancedSmelting,,10,,,,,,"Rebar,6;SteelBar,10",,,,,,A document containing important research information. Used to discover new skills at the research table.,,,,,"Modern Research,1;Research,1",6,600,,Items,Research Papers,,,,,,,,,,,,,,,,
MoonJellyfish,,,,,,,200,,,,,,,,,,,,A moon jellyfish.,,,,Animal,"Fish,1;SmallFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Mortar,,,,,,,500,,,,,,,,,,,Mortar,A binding pitch useful as a mortar.,,,,Material,,,,,Items,Products,,,,,,,,,,,,,,,,
MountainGoatCarcass,,,,,,,3000,,,,,,,,,,,,A dead mountain goat.,,,,Animal,"MediumCarcass,1;MediumWoolyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Nail,,Anvil,,1,Smelting,0.8,500,,,,,,"IronBar,1",,,,16,,Nails used for construction.,,,,Material,,0.5,50,,Items,Products,,,,,,,,,,,,,,,,
NuclearFuel,,,,,,20,10000,,,,,,,,"Tailings,25",,,NuclearFuel,Unstable nuclear fuel.,,,,Fuel,,,,,,,,,,,,,,,,,,,,,,
Nylon,,OilRefinery,,1,OilDrilling,1.5,500,,,,,,"Petroleum,4",,"Barrel,3,-",,2,,Nylon is a synthetic polymer that can be used as a cheap alternative to more natural textiles. ,,,,Material,,1,180,,Items,Products,,,,,,,,,,,,,,,,
NylonChips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NylonFabric,,,,,,,100,,,,,,,,,,,NylonFabric,A synthetic fabric that is desired for its durability and cheap cost to produce.,,,,Material,"Fabric,1",,,,Items,Products,,,,,,,,,,,,,,,,
NylonThread,,SpinMelter,,1,Tailoring,0.75,20,,,,,,"Nylon,2",,,,4,NylonThread,Synthetic thread that has more resistance to abrasion than more natural threads.,,,,Material,,0.5,60,,Items,Products,,,,,,,,,,,,,,,,
OtterCarcass,,,,,,,1000,,,,,,,,,,,,A dead otter.,,,,Animal,"TinyFurCarcass,1;TinyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
PacificSardine,,,,,,,150,,,,,,,,,,,,A pacific sardine.,,,,Animal,"Fish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Paper,,CarpentryTable,,0,PaperMilling,0.1,100,,,,,,"CelluloseFiber,1",,,100,,,It's paper.,,,,Material,"Burnable Fuel,1",1,20,x,Items,Products,,,,,,,,,,,,,,,,
Picture,,,,,,,,,,,,,,,,,,,A picture displaying a captured moment.,,,,,,,,,,,,,,,,,,,,,,,,,,
Piston,,ScrewPress,,1,Mechanics,1.5,500,,,,,,"IronPipe,2;IronBar,2",,,,,,A moving component that transfers force. Can also function as a valve occasionally.,,MachinistTable,,Material,,2,60,,Items,Products,,,,,,,,,,,,,,,,
PlantFibers,,,,,,,10,,,,,,,,,100,,,"Harvested from a number of plants, these fibers are useful for a surprising number of things.",,,,Material,"NaturalFiber,1;Burnable Fuel,1;Crop,1",,,,Items,Products,,,,,,,,,,,,,,,,
Plastic,,OilRefinery,,1,OilDrilling,1.5,1000,,,,,,"Petroleum,4",,"Barrel,3,-",,2,Plastic,An extremely useful synthetic material derived from petrochemicals.,,,,Material,,1,180,x,Items,Products,,,,,,,,,,,,,,,,
PortableSteamEngine,,MachinistTable,,1,Mechanics,8,5000,,,,,,"Piston,8;Screws,18;IronPlate,12;Boiler,3;IronGear,12;CopperPipe,6",,,,,,An engine that generates mechanical power through steam.,,,,Material,,10,1200,,Items,Products,,,,,,,,,,,,,,,,
PrairieDogCarcass,,,,,,,1000,,,,,,,,,,,,A dead prairie dog.,,,,Animal,"TinyLeatherCarcass,1;TinyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
PropertyClaim,,,,,,,100,,,,,,,,,,,Land Claim Papers,Use to claim a section of land as your own.,,,Land Claim Paper,Tool,,,,x,Items,Tools,,,,,,,,,,,,,,,,
PropertyTool,Tool,ToolBench,,,,0.5,1000,,,,,"Wood,10",,,,,,Land Claim Stakes,"Used to claim, unclaim, and examine property.\n\nWhen claiming:\n- Hold Ctrl to create a new deed.\n- Hold Shift to choose from nearby deeds.\nWhen unclaiming:\n- Hold Ctrl to unclaim an entire deed.\n- Hold Shift to move plot to a nearby deed.",,,Land Claim Stake,Tool,"Tool,1",,200,,Items,Tools,,,,,,,,,,,,,,,,
Quicklime,,BlastFurnace,,1,AdvancedSmelting,0.2,500,,,,,,"CrushedLimestone,1",,,,,,A chemical compound used in steel production.,,,,Material,,0.1,50,,Items,Products,,,,,,,,,,,,,,,,
Radiator,,ElectricStampingPress,,1,Industry,1.5,500,,,,,,"HeatSink,4;CopperWiring,8",,,,,,A heat sink that uses liquid running through copper fins to disperse heat build-up.,,,,Material,,3,35,,Items,Products,,,,,,,,,,,,,,,,
Rebar,,BlastFurnace,,2,AdvancedSmelting,0.2,3000,,,,,,"SteelBar,2",,,,,,Ribbed steel bars for reinforcing stuctures.,,,,Material,,2,50,,Items,Products,,,,,,,,,,,,,,,,
Rivet,,BlastFurnace,,2,AdvancedSmelting,0.8,2000,,,,,,"SteelBar,1",,,,3,,An iron bolt used to hold together inventions.,,,,Material,,1,85,,Items,Products,,,,,,,,,,,,,,,,
RubberWheel,,ElectricLathe,,1,Industry,2,2000,,,,,,"SyntheticRubber,8;SteelBar,4",,,,,,Rubber wheels provide much better traction and allow the construction of more modern vehicles.,,,,,,3.5,60,,Items,Products,,,,,,,,,,,,,,,,
Salmon,,,,,,,1000,,,,,,,,,,,,A salmon.,,,,Animal,"Fish,1;MediumFish,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
Screws,,Lathe,,1,Mechanics,2,500,,,,,,"IronBar,1",,,,4,,A pointed metal fastener used in crafting to attach pieces of material together.,,MachinistTable,,Material,,1,25,,Items,Products,,,,,,,,,,,,,,,,
Servo,,ElectricMachinistTable,,2,Mechanics,3,500,,,,,,"BasicCircuit,2;Fiberglass,5",,,,,,A rotary actuator that allows for control over angular position.,,,,Material,,2,60,,Items,Products,,,,,,,,,,,,,,,,
ShornWool,,,,,,,,,,,,,,,,,,,Wool that has been shorn from an animal.,,,,Material,,,,,Items,Products,,,,,,,,,,,,,,,,
SmallHangingWoodSign,,CarpentryTable,,1,Carpentry,2,,,,x,,"WoodBoard,2;HewnLog,4;Wood,5",,,,,,,A small sign for all of your smaller text needs!,,,,,,1,25,,,,,,,,,,,,,,,,,,,
SmallStandingWoodSign,,CarpentryTable,,1,Carpentry,2,,,,x,,"WoodBoard,2;HewnLog,4;Wood,5",,,,,,,A small sign for all of your smaller text needs!,,,,,,1,25,,,,,,,,,,,,,,,,,,,
SnappingTurtleCarcass,,,,,,,2000,,,,,,,,,,,,A dead snapping turtle.,,,,Animal,"TinyLeatherCarcass,1;TinyCarcass,1",,,,Natural Resources,Animal,,,,,,,,,,,,,,,,
SoftwoodBoard,,CarpentryTable,,1,Carpentry,0.2,500,,,,Board,,"SoftwoodHewnLog,1",,,2000,,,A higher quality softwood board used for long lasting furniture.,,,,Material,"WoodBoard,1;Burnable Fuel,1",0.6,25,x,Items,Products,,,,,,,,,,,,,,,,
SoilSampler,,ToolBench,,0,Fertilizers,4,1000,,,,,"Wood,2;WoodBoard,2",,,,,,,"Checking the moisture levels, temperature, and nutrients of soil is important for farming.",,,,Tool,,1,50,,Items,Tools,,,,,,,,,,,,,,,,
SpoiledFood,,,,,,,10,,,,,,,,,,,,Food that has spoiled beyond the point of being suitable for human consumption. It can still be used for compost.,,,,,,,,,Items,Products,,,,,,,,,,,,,,,,
SteamTractorHarvester,VehicleTool,AssemblyLine,,2,Mechanics,2,10000,Mechanical,2500,,,,"IronPlate,12;Screws,12;IronPipe,8",,,,,,An attachment for the steam tractor that allows for quick harvesting of plants.,,,,Tool,,10,120,,Items,Tools,,,,,,,,,,,,,,,,
SteamTractorPlow,VehicleTool,AssemblyLine,,2,Mechanics,2,10000,Mechanical,2500,,,,"IronPlate,8;Screws,18",,,,,,An attachment for the steam tractor that allows for quick plowing.,,,,Tool,,10,120,,Items,Tools,,,,,,,,,,,,,,,,
SteamTractorSower,VehicleTool,AssemblyLine,,2,Mechanics,2,10000,Mechanical,2500,,,,"IronPlate,8;Screws,18;IronPipe,8",,,,,,An attachment for the steam tractor that allows for quick planting of seeds.,,,,Tool,,10,120,,Items,Tools,,,,,,,,,,,,,,,,
SteelAxle,,ElectricLathe,,1,Industry,1.5,500,,,,,,"SteelBar,4;Epoxy,3",,,,,,A rotating steel rod that can be fixed to wheels for use in vehicles.,,,,Material,,1,60,,Items,Products,,,,,,,,,,,,,,,,
SteelGear,,ElectricPlaner,,1,Industry,0.4,500,,,,,,"SteelBar,2;Epoxy,1",,,,,,A toothed machine part that interlocks with others.,,,,Material,"Gear,1",1,60,,Items,Products,,,,,,,,,,,,,,,,
SteelGearbox,,ElectricPlaner,,2,Industry,2,500,,,,,,"SteelBar,8;SteelGear,4",,,,,,Provides speed and torque conversions from a rotating power source to another device.,,,,Material,,2.5,100,,Items,Products,,,,,,,,,,,,,,,,
SteelPlate,,ElectricStampingPress,,1,Industry,1.5,500,,,,,,"SteelBar,3",,,,,,A sturdy steel plate for use in various crafting recipes.,,,,Material,,1,120,x,Items,Products,,,,,,,,,,,,,,,,
SteelSawBlade,,Anvil,,2,AdvancedSmelting,1.2,100,,,,,,"SteelBar,10",,,,,,A disc shaped steel saw that can be attached to rotary machines to shape wood and masonry products.,,,,Material,,2,180,,Items,Products,,,,,,,,,,,,,,,,
